id,category,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
The Hungry Bear,Mexican,Medium,Queens,03:42,3,false
BBQ Bonanza,Mexican,Expensive,Bronx,03:42,4,false
The Hungry Bear,Mediterranean,Medium,Harlem,21:05,1,false
Sizzle Steakhouse,Chinese,Cheap,Manhattan,23:55,3,false
Deli Delight,Mexican,Cheap,Brooklyn,12:30,5,false
Burger Barn,Japanese,Expensive,Staten Island,08:57,5,false
Sizzle Steakhouse,Mexican,Expensive,Manhattan,17:10,5,false
Pasta Paradise,Mediterranean,Medium,Manhattan,00:15,3,true
The Hungry Bear,Indian,Cheap,Bronx,21:05,2,false
Sushi Sensation,Greek,Medium,Queens,08:57,3,true
The Hungry Bear,Greek,Cheap,Harlem,08:57,3,true
Sushi Sensation,Chinese,Cheap,Brooklyn,12:30,4,true
The Hungry Bear,Mediterranean,Expensive,Brooklyn,00:15,2,true
The Hungry Bear,Chinese,Expensive,Harlem,00:15,2,false
BBQ Bonanza,Japanese,Medium,Staten Island,03:42,4,true
Noodle Nook,French,Expensive,Brooklyn,00:15,2,false
Crispy Crust Pizzeria,Greek,Expensive,Manhattan,03:42,4,false
Sushi Sensation,Korean,Medium,Manhattan,21:05,2,true
Tasty Tacos,Japanese,Expensive,Bronx,12:30,5,false
The Hungry Bear,Greek,Medium,Harlem,12:30,5,true
Pasta Paradise,Korean,Expensive,Manhattan,23:55,1,true
BBQ Bonanza,Korean,Medium,Brooklyn,08:57,3,true
Noodle Nook,Greek,Expensive,Harlem,21:05,4,false
Burger Barn,Mediterranean,Medium,Queens,03:42,5,false
BBQ Bonanza,Indian,Medium,Harlem,08:57,4,true
Burger Barn,Greek,Cheap,Harlem,17:10,3,false
Noodle Nook,Korean,Expensive,Harlem,00:15,2,true
Sushi Sensation,Greek,Cheap,Harlem,12:30,2,true
Noodle Nook,Japanese,Cheap,Harlem,21:05,4,true
BBQ Bonanza,Mediterranean,Expensive,Bronx,12:30,4,true
Crispy Crust Pizzeria,Japanese,Medium,Harlem,03:42,4,false
Deli Delight,Japanese,Expensive,Staten Island,12:30,5,false
Sizzle Steakhouse,Greek,Expensive,Manhattan,17:10,3,true
Crispy Crust Pizzeria,Mexican,Expensive,Manhattan,21:05,2,true
BBQ Bonanza,French,Medium,Manhattan,23:55,2,false
Tasty Tacos,Italian,Cheap,Harlem,21:05,5,true
Noodle Nook,Italian,Expensive,Brooklyn,08:57,1,true
Sushi Sensation,Indian,Cheap,Manhattan,23:55,4,true
